Day,Open,High,Low,Close,Volume
20170627,10560,10725,10560,10655,2396144
20170628,10515,10620,10395,10395,2619317
20170629,10525,10545,10425,10520,1560168
20170630,10385,10540,10380,10525,2057325
20170703,10550,10570,10260,10350,2015485
20170704,10320,10410,10150,10235,2863989
20170705,10205,10330,10200,10315,1266044
20170706,10355,10440,10355,10425,1341725
20170707,10365,10440,10330,10380,970312
20170710,10460,10495,10270,10300,1097129
20170711,10300,10345,10150,10185,1391922
20170712,10175,10225,9945,9970,1596368
20170713,10050,10130,9965,10060,1879155
20170714,10065,10125,9975,10070,1078445
20170717,10150,10370,10100,10355,2111800
20170718,10390,10450,10340,10410,1845154
20170719,10470,10695,10445,10695,3681942
20170720,10785,11010,10705,10900,3963055
20170721,10895,10915,10755,10790,2766147
20170724,10855,10940,10780,10800,2420809
20170725,10820,10890,10530,10550,2688193
20170726,10570,10645,10430,10645,2238258
20170727,10670,10775,10575,10735,2300111
20170728,10610,10620,10210,10270,3747462
20170731,10070,10220,9990,10205,3277661
20170801,10150,10315,10105,10200,2124757
20170802,10230,10345,10230,10330,1730566
20170803,10295,10320,9785,9805,3783909
20170804,9780,9945,9600,9700,2886901
20170807,9755,10045,9745,10030,3032547
20170808,10060,10135,9890,10075,2200366
20170809,9925,10035,9890,9890,1752497
20170810,9850,10000,9725,9895,2799624
20170811,9630,9765,9450,9480,4466773
20170814,9595,9635,9485,9560,2331403
20170816,9690,9850,9675,9840,1736180
20170817,9880,10110,9840,10110,2286351
20170818,9865,10170,9865,10090,2465748
20170821,10140,10150,9965,9965,1153651
20170822,10020,10175,10000,10170,1691486
20170823,10235,10250,10100,10100,1198191
20170824,10100,10240,10100,10230,1794766
20170825,10255,10315,10230,10300,1621419
20170828,10300,10485,10300,10455,2200281
20170829,10325,10525,10300,10500,2911739
20170830,10530,10635,10450,10480,2160799
20170831,10545,10615,10520,10600,1439653
20170901,10680,10840,10650,10765,2799902
20170904,10350,10620,10320,10425,4299613
20170905,10530,10625,10350,10435,1993738
20170906,10420,10670,10415,10670,2208831
20170907,10685,10905,10685,10795,2860664
20170908,10810,10880,10715,10725,1320037
20170911,10820,10945,10805,10870,2180356
20170912,10955,10985,10855,10950,2454190
20170913,11000,11015,10900,10915,1605037
20170914,10885,11285,10885,11250,2470859
20170915,11185,11725,11170,11680,5221347
20170918,11805,12070,11805,11935,2575956
20170919,11965,12000,11725,11935,1970193
20170920,11965,12190,11755,11755,3522715
20170921,11820,11925,11420,11640,4277936
20170922,11590,11650,11285,11400,5243847
20170925,11355,11595,11240,11455,4383267
20170926,11385,11590,11300,11495,3313781
20170927,11555,11715,11500,11715,2712607
20170928,11750,11795,11525,11525,2460156
20170929,11570,11670,11470,11625,2194835
20171010,11795,11860,11765,11780,1801617
20171011,11810,12020,11810,12020,2114824
20171012,12055,12280,12040,12235,2463073
20171013,12270,12850,12165,12335,5924929
20171016,12490,12650,12120,12525,2769194
20171017,12500,13320,12500,13230,5015841
20171018,13270,13770,13200,13285,5046173
20171019,13460,13485,13000,13065,5286792
20171020,13010,13350,12945,13350,2189322
20171023,13435,13610,13425,13540,2431093
20171024,13525,14250,13525,14250,6945422
20171025,14195,14310,14020,14225,5254060
20171026,14220,14260,13650,13650,4804564
20171027,13805,14205,13680,14205,4943307
20171030,14205,14325,14100,14275,4403328
20171031,14245,14420,14195,14420,3329836
20171101,14445,14510,14385,14415,3229264
20171102,14445,14645,14185,14455,4641639
20171103,14595,14955,14585,14955,4630674
20171106,14925,15120,14720,15050,5276088
20171107,15070,15080,14585,14815,6364067
20171108,14825,15325,14805,15325,6150979
20171109,15370,15460,14985,15245,9726277
20171110,15130,15750,15125,15750,7071058
20171113,15795,17140,15795,17095,11593728
20171114,17195,18390,17175,18335,20417413
20171115,18490,19775,18240,19380,24652856
20171116,19735,20125,18250,20100,22164660
20171117,19765,19885,19225,19490,13387035
20171120,19455,20375,19430,20375,11904312
20171121,20330,21020,20170,20495,19563747
20171122,20740,20780,19500,19505,15867058
20171123,19170,20660,18700,20660,13092066
20171124,20490,20800,19825,19825,14358064
20171127,19600,20180,19140,19670,10527632
20171128,19930,19985,18300,18300,12109853
20171129,18420,18880,18000,18715,14874206
20171130,18565,18805,18090,18165,6657538
20171201,18580,19355,18500,19260,9166132
20171204,19210,19350,18635,18880,7047648
20171205,18800,18880,17995,17995,7671166
20171206,18160,18575,17300,17550,12271339
20171207,17700,17785,16335,16810,12937258
20171208,16750,17150,16440,16510,8480113
20171211,16655,17595,16510,17595,8777896
20171212,17735,17870,16905,17400,9028204
20171213,17430,18010,17285,17680,10726076
20171214,17930,17965,17005,17205,9082612
20171215,17210,17745,16955,17370,8872561
20171218,17595,17680,17085,17085,6354130
20171219,17150,17185,16230,17080,13842342
20171220,16870,17065,16520,16525,7332342
20171221,16395,16760,16000,16000,10408372
20171222,16065,17305,15875,17305,16069329
20171226,17415,18440,17415,17650,19357420
20171227,18275,19500,18020,19450,19543244
20171228,19400,19800,19155,19800,17392161
20180102,19980,20590,19805,20440,13075683
20180103,20660,21290,20410,21085,22555593
20180104,21290,21300,19585,19935,21006176
20180105,20000,21495,19995,21495,19304063
20180108,21545,22675,21540,22540,27623205
20180109,22620,22985,21900,22170,24604640
20180110,22430,22685,21280,22290,19763515
20180111,22170,23960,21970,23960,25779637
20180112,24000,27945,24000,26350,39223883
20180115,26450,28000,25485,27905,27098608
20180116,27500,28770,27090,28395,26436152
20180117,28560,28920,26800,26840,32304118
20180118,27100,27725,26685,27460,21161340
20180119,27685,27830,24920,25465,25832050
20180122,24865,25425,24000,24830,17427909
20180123,25500,26565,25115,26565,15985955
20180124,27120,27280,26000,26290,18038503
20180125,26030,26290,25335,26185,13516762
20180126,26170,27085,25705,27000,16320812
20180129,26945,28480,26930,28230,15988300
20180130,28395,28725,27750,27805,18655823
20180131,26750,27645,26560,27015,16248550
20180201,27145,27510,25900,26000,16430137
20180202,26035,26300,24800,25840,16757679
20180205,24600,24955,23055,23055,17896367
20180206,21215,23545,20855,23520,34115174
20180207,24300,24380,21420,21420,24200043
20180208,21535,24000,21000,23650,28408984
20180209,21950,22745,21785,22000,22219765
20180212,22590,22735,21925,21925,12627479
20180213,22385,22520,20800,20800,15225616
20180214,21075,22070,20655,22070,16242980
20180219,22600,24015,22510,23995,17818881
20180220,23880,24000,22625,22920,16683626
20180221,23120,23995,22840,23590,18193179
20180222,23160,23460,22750,23310,11904073
20180223,23700,23780,23315,23600,10625426
20180226,24025,24415,23355,23765,14926597
20180227,24240,24360,23700,23700,11924581
20180228,23130,23335,22310,22660,14806612
20180302,21900,23010,21895,22965,13130564
20180305,22965,23085,22230,22230,10070755
20180306,22710,23195,22610,23115,9495918
20180307,22940,23430,21950,21970,16601715
20180308,22355,22885,22195,22720,11770228
